position |    rank    |           player_name            | points | wins | loses | played | winrate
     124 | major      | ImDrunkAndYoureKindaCute         |   1273 |   19 |     2 |     21 |      90
     125 | major      | I Am Become Soy                  |   1270 |  172 |   120 |    292 |      58
     126 | major      | Mackermicker                     |   1269 |   67 |    49 |    116 |      57
     127 | major      | Blue Angel                       |   1269 |   37 |    15 |     52 |      71
     128 | major      | lth0713                          |   1266 |  112 |    82 |    194 |      57
     129 | major      | Sofie                            |   1266 |  139 |   106 |    245 |      56
     130 | major      | jordanfinn23                     |   1265 |  272 |   246 |    518 |      52
     131 | major      | GALLIC_BUBU                      |   1265 |   49 |    29 |     78 |      62
     132 | major      | jupidu0815                       |   1264 |  161 |   126 |    287 |      56
     133 | major      | Dadi                             |   1264 |   62 |    25 |     87 |      71
     134 | major      | pure.[POPsic]le                  |   1263 |   17 |     1 |     18 |      94
     135 | major      | j3ffdavidlan3                    |   1262 |  100 |    90 |    190 |      52
     136 | major      | Kiesel                           |   1258 |  284 |   206 |    490 |      57
     137 | major      | M. Renard                        |   1258 |   59 |    49 |    108 |      54
     138 | major      | Moeen                            |   1257 |  583 |   486 |   1069 |      54
     139 | major      | wind scar 79                     |   1255 |  190 |   151 |    341 |      55
     140 | major      | Strelok                          |   1255 |   21 |     4 |     25 |      84
     141 | major      | SSM Launcher                     |   1255 |   12 |     0 |     12 |     100
     142 | major      | casino52                         |   1254 |  722 |   569 |   1291 |      55
     143 | major      | SAVING IS CAPITALISM             |   1248 |   36 |    22 |     58 |      62
     144 | major      | 150603081507                     |   1247 |  232 |   198 |    430 |      53
     145 | major      | PoliZei                          |   1247 |   21 |     7 |     28 |      75
     146 | major      | JMD                              |   1247 |  112 |    87 |    199 |      56
     147 | major      | schwarzmat                       |   1246 |  370 |   304 |    674 |      54
     148 | major      | GammerGirl                       |   1246 |   14 |     7 |     21 |      66
     149 | major      | MC RusTy                         |   1244 |   32 |    33 |     65 |      49
     150 | major      | illbedammeddd                    |   1242 |  126 |    99 |    225 |      56
     151 | major      | tcmjuk87                         |   1242 |   57 |    35 |     92 |      61
     152 | major      | clockdrops                       |   1241 |  588 |   467 |   1055 |      55
     153 | major      | sadone                           |   1241 |  123 |   107 |    230 |      53
     154 | major      | Burn69                           |   1241 |   14 |     0 |     14 |     100
     155 | major      | GriffinTamer                     |   1240 |  129 |   104 |    233 |      55
     156 | major      | PURE_FROG                        |   1240 |   18 |    11 |     29 |      62
     157 | major      | LooMiS                           |   1239 |   32 |    23 |     55 |      58
     158 | major      | Hellraiser                       |   1238 |   42 |    41 |     83 |      50
     159 | major      | kingbeanpro                      |   1236 |  264 |   205 |    469 |      56
     160 | major      | OnceAgain                        |   1235 |  509 |   401 |    910 |      55
     161 | major      | lemur turtle gamer               |   1234 |   26 |    17 |     43 |      60
     162 | major      | RD__RD_xx                        |   1234 |   11 |     0 |     11 |     100
     163 | major      | ekimlepat                        |   1234 |   11 |     0 |     11 |     100
     164 | major      | Lunak                            |   1230 |   25 |    16 |     41 |      60
     165 | major      | KratosleViking                   |   1226 |   28 |    17 |     45 |      62
     166 | major      | jarrow                           |   1221 |   25 |    24 |     49 |      51
     167 | major      | SigPi963                         |   1221 |  712 |   697 |   1409 |      50
     168 | major      | All-Time Greatest Player + AGP   |   1219 |   16 |     9 |     25 |      64
     169 | major      | KillerKermit                     |   1217 |  314 |   263 |    577 |      54
     170 | major      | Panzi                            |   1217 |   17 |     8 |     25 |      68
     171 | major      | milordos                         |   1216 |  126 |   104 |    230 |      54
     172 | major      | sNilliNs                         |   1216 |  132 |   101 |    233 |      56
     173 | major      | MechHammer40000                  |   1213 |   32 |     8 |     40 |      80
     174 | major      | Majestic                         |   1212 |  113 |   102 |    215 |      52
     175 | major      | Heegu                            |   1211 |   24 |     6 |     30 |      80
     176 | major      | Alex                             |   1210 |   29 |    16 |     45 |      64
     177 | major      | SwiftSpear                       |   1209 |  111 |   115 |    226 |      49
